YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-09,WEEKDAY,16,TRAIN,NS11,30093,43829
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,EW7,4168,1779
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,TE15,5481,5530
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,TE26,5163,8107
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,SE2,3651,1472
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,CC11,6951,5533
2024-09,WEEKENDS/HOLIDAY,11,TRAIN,SE3,1864,845
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,TE3,2096,2571
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,TE24,1239,1449
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,DT21,3616,4363
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,BP10,374,1572
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,PE1,435,2190
2024-09,WEEKDAY,7,TRAIN,DT34,11178,8997
2024-09,WEEKDAY,20,TRAIN,PE7,1544,7027
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,DT21,1677,1380
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,SW1,1170,714
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,DT18,1235,3553
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,PE7,696,2619
2024-09,WEEKDAY,0,TRAIN,EW27,168,5468
2024-09,WEEKENDS/HOLIDAY,5,TRAIN,PW2,13,0
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,CC23,17,172
2024-09,WEEKDAY,8,TRAIN,EW11,26906,43971
2024-09,WEEKDAY,17,TRAIN,CC8,12802,12172
2024-09,WEEKDAY,16,TRAIN,CG2,31453,19376
2024-09,WEEKDAY,15,TRAIN,TE14/NS22,78636,69014
2024-09,WEEKDAY,7,TRAIN,CC25,12316,16559
2024-09,WEEKDAY,17,TRAIN,DT20,12413,10748
2024-09,WEEKDAY,11,TRAIN,NS12,13853,6643
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,NS14,21398,8294
2024-09,WEEKENDS/HOLIDAY,16,TRAIN,PE5,2574,2392
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,NS10,19279,8592
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,EW12/DT14,26091,44906
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,EW19,8988,5288
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,PE2,3605,1105
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,CC16,3181,2805
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,PE7,1604,2016
2024-09,WEEKENDS/HOLIDAY,6,TRAIN,EW30,651,1495
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,TE1,940,2492
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,DT3,1484,4041
2024-09,WEEKDAY,17,TRAIN,TE24,4286,4746
2024-09,WEEKDAY,23,TRAIN,NE17/PTC,5265,20012
2024-09,WEEKDAY,14,TRAIN,TE7,5600,6035
2024-09,WEEKDAY,14,TRAIN,PW5,2065,2512
2024-09,WEEKDAY,6,TRAIN,EW14/NS26,2668,35903
2024-09,WEEKDAY,13,TRAIN,EW23,37132,33954
2024-09,WEEKDAY,7,TRAIN,CE1/DT16,10823,28963
2024-09,WEEKDAY,9,TRAIN,CG2,15453,27780
2024-09,WEEKDAY,18,TRAIN,CC23,102707,12951
2024-09,WEEKDAY,16,TRAIN,EW20,13574,10728
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,EW27,8799,21761
2024-09,WEEKDAY,5,TRAIN,NE17/PTC,10878,2226
2024-09,WEEKDAY,17,TRAIN,BP13,1528,1708
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,35805,30368
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,CE1/DT16,28687,28131
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,NE14,19972,7663
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,TE24,1904,1645
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,CC24,4207,2764
2024-09,WEEKENDS/HOLIDAY,8,TRAIN,CC20,2665,2344
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,EW10,6259,7342
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,NE11,7204,7141
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,TE3,1209,4635
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,NE5,6533,7122
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,TE25,1825,1451
2024-09,WEEKDAY,19,TRAIN,TE19,35688,5304
2024-09,WEEKDAY,6,TRAIN,EW12/DT14,13298,18214
2024-09,WEEKDAY,7,TRAIN,CC16,16803,24711
2024-09,WEEKDAY,17,TRAIN,PW1,3820,3751
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,EW30,1050,1442
2024-09,WEEKDAY,7,TRAIN,NS28,1487,3038
2024-09,WEEKDAY,8,TRAIN,EW15,17978,224962
2024-09,WEEKDAY,15,TRAIN,NS23,37407,35547
2024-09,WEEKDAY,23,TRAIN,NS25/EW13,35984,3059
2024-09,WEEKDAY,9,TRAIN,EW24/NS1,38905,92693
2024-09,WEEKDAY,16,TRAIN,PW7,3242,3877
2024-09,WEEKDAY,9,TRAIN,EW10,19189,10177
2024-09,WEEKDAY,19,TRAIN,NS3,17106,47516
2024-09,WEEKDAY,11,TRAIN,PW7,2300,1856
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,NS25/EW13,26893,44415
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,PW4,1500,474
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,CG1/DT35,9930,8653
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,TE18,2207,895
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,DT8,1574,1716
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,BP4,962,658
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,CC26,1316,1374
2024-09,WEEKENDS/HOLIDAY,11,TRAIN,TE22,1194,3997
